energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
705.8,1.29544,1.0488,1.055,1.27218,1.18829,686.7,1.10263,0.986714,1.25627,1.28557,1.2766,534.2,1.18017,1.09337,1.57785,1.68529,1.64265,286.7,2.98547,2.26604,2.51254,2.57523,2.62815
705.9,1.35789,1.06807,1.12411,1.23194,1.31329,686.85,1.16269,0.923,1.19358,1.24819,1.27147,534.4,1.2005,1.10381,1.58192,1.68614,1.64341,286.85,2.8192,2.25692,2.53971,2.68877,2.6003
706,1.399,1.07413,1.05744,1.27218,1.21129,687,1.14169,1.00676,1.19073,1.29657,1.2974,534.6,1.19611,1.10952,1.60515,1.70857,1.639,287,2.86793,2.32292,2.60429,2.65315,2.504
706.1,1.402,1.093,1.08811,1.26629,1.24214,687.15,1.12875,0.945381,1.18738,1.27043,1.26753,534.8,1.18711,1.11422,1.60454,1.68857,1.64971,287.15,2.77137,2.21008,2.49825,2.60269,2.53185
706.2,1.38133,1.03593,1.06956,1.26353,1.22329,687.3,1.10475,1.00405,1.16654,1.29638,1.256,535,1.18561,1.12856,1.60431,1.71343,1.69088,287.3,2.78043,2.1708,2.41421,2.55731,2.6287
706.3,1.49122,1.16773,1.13867,1.24082,1.217,687.45,1.12181,1.01624,1.13992,1.26714,1.26047,535.2,1.187,1.13559,1.57685,1.71571,1.663,287.45,2.96477,2.27392,2.50646,2.67246,2.66265
706.4,1.51967,1.20693,1.09733,1.23482,1.21386,687.6,1.11537,0.978619,1.16638,1.24829,1.236,535.4,1.19089,1.16041,1.62915,1.69029,1.63329,287.6,2.92967,2.19976,2.52436,2.69831,2.71015
706.5,1.54678,1.2098,1.135,1.30053,1.20243,687.75,1.14869,1.01662,1.19896,1.3209,1.26873,535.6,1.18567,1.17356,1.61985,1.68271,1.62847,287.75,3.0295,2.35656,2.54996,2.75415,2.70195
706.6,1.67456,1.1858,1.14422,1.298,1.26629,687.9,1.14619,1.0219,1.21838,1.28733,1.26487,535.8,1.19028,1.17333,1.59554,1.69414,1.63924,287.9,2.9296,2.27164,2.59525,2.69454,2.69345
706.7,1.72422,1.25227,1.16022,1.24071,1.27757,688.05,1.15494,1.00948,1.18381,1.30076,1.27207,536,1.20922,1.17359,1.56869,1.69357,1.63971,288.05,2.8996,2.34312,2.54757,2.73677,2.72765
706.8,1.79,1.334,1.14233,1.30159,1.21157,688.2,1.10375,1.00529,1.18404,1.29014,1.2606,536.2,1.19422,1.22563,1.60862,1.66,1.61841,288.2,2.87617,2.4232,2.73339,2.76838,2.7084
706.9,1.89678,1.35967,1.20267,1.22035,1.23429,688.35,1.12756,1.02071,1.22731,1.31776,1.27053,536.4,1.1995,1.22774,1.62877,1.66643,1.62118,288.35,2.85087,2.53896,2.76804,2.74538,2.68645
707,2.02111,1.35287,1.223,1.27718,1.24986,688.5,1.14225,1.03624,1.18388,1.28519,1.25633,536.6,1.22739,1.25089,1.59038,1.67314,1.64776,288.5,2.78877,2.4636,2.65089,2.69308,2.71755
707.1,2.13144,1.40327,1.24922,1.32306,1.27186,688.65,1.13919,1.02929,1.17123,1.29924,1.2438,536.8,1.21411,1.22633,1.64369,1.66943,1.61341,288.65,2.8251,2.442,2.68436,2.59438,2.5849
707.2,2.268,1.37633,1.24611,1.23065,1.219,688.8,1.13219,1.06833,1.20627,1.30486,1.25893,537,1.22506,1.2877,1.61669,1.68986,1.65765,288.8,2.7733,2.44188,2.67489,2.60038,2.63575
