energy,T1_Fe.txt,T2_Fe.txt,T3_Fe.txt,T4_Fe.txt,T5_Fe.txt,energy,T1_F.txt,T2_F.txt,T3_F.txt,T4_F.txt,T5_F.txt,energy,T1_O.txt,T2_O.txt,T3_O.txt,T4_O.txt,T5_O.txt,energy,T1_C.txt,T2_C.txt,T3_C.txt,T4_C.txt,T5_C.txt
717.6,2.06644,1.32613,1.19067,1.26747,1.227,,717.6,0.92644,0.32613,0.16067,0.00747,-0.013,,,,,,,,,,,
717.7,2.17011,1.356,1.21144,1.25188,1.21043,,717.7,1.03011,0.356,0.18144,-0.00812,-0.02957,,,,,,,,,,,
717.8,2.19622,1.32553,1.24011,1.25771,1.17943,,717.8,1.05622,0.32553,0.21011,-0.00229,-0.06057,,,,,,,,,,,
717.9,2.257,1.341,1.22711,1.23588,1.25471,,717.9,1.117,0.341,0.19711,-0.02412,0.01471,,,,,,,,,,,
718,2.08433,1.32627,1.21667,1.29612,1.21286,,718,0.94433,0.32627,0.18667,0.03612,-0.02714,,,,,,,,,,,
718.1,2.202,1.3332,1.17044,1.27218,1.24857,,718.1,1.062,0.3332,0.14044,0.01218,0.00857,,,,,,,,,,,
718.2,2.20089,1.297,1.25389,1.25812,1.21543,,718.2,1.06089,0.297,0.22389,-0.00188,-0.02457,,,,,,,,,,,
718.3,2.24167,1.45353,1.20456,1.24653,1.22886,,718.3,1.10167,0.45353,0.17456,-0.01347,-0.01114,,,,,,,,,,,
718.4,2.32233,1.41047,1.18844,1.243,1.20329,,718.4,1.18233,0.41047,0.15844,-0.017,-0.03671,,,,,,,,,,,
718.5,2.191,1.40507,1.21844,1.25459,1.223,,718.5,1.051,0.40507,0.18844,-0.00541,-0.017,,,,,,,,,,,
718.6,2.25611,1.32367,1.23211,1.28735,1.199,,718.6,1.11611,0.32367,0.20211,0.02735,-0.041,,,,,,,,,,,
718.7,2.16156,1.36967,1.19456,1.25476,1.17,,718.7,1.02156,0.36967,0.16456,-0.00524,-0.07,,,,,,,,,,,
718.8,2.20189,1.4074,1.21156,1.27024,1.17,,718.8,1.06189,0.4074,0.18156,0.01024,-0.07,,,,,,,,,,,
718.9,2.21267,1.3844,1.20133,1.27618,1.20686,,718.9,1.07267,0.3844,0.17133,0.01618,-0.03314,,,,,,,,,,,
719,2.23556,1.39353,1.21167,1.28359,1.19143,,719,1.09556,0.39353,0.18167,0.02359,-0.04857,,,,,,,,,,,
719.1,2.21344,1.45313,1.211,1.257,1.23043,,719.1,1.07344,0.45313,0.181,-0.003,-0.00957,,,,,,,,,,,
719.2,2.20511,1.37553,1.16056,1.27435,1.22057,,719.2,1.06511,0.37553,0.13056,0.01435,-0.01943,,,,,,,,,,,
719.3,2.22244,1.34547,1.20722,1.226,1.23943,,719.3,1.08244,0.34547,0.17722,-0.034,-0.00057,,,,,,,,,,,
719.4,2.14811,1.29627,1.19633,1.21365,1.20614,,719.4,1.00811,0.29627,0.16633,-0.04635,-0.03386,,,,,,,,,,,
719.5,2.20967,1.3912,1.20978,1.23012,1.18629,,719.5,1.06967,0.3912,0.17978,-0.02988,-0.05371,,,,,,,,,,,
719.6,2.35922,1.4724,1.19167,1.30012,1.22857,,719.6,1.21922,0.4724,0.16167,0.04012,-0.01143,,,,,,,,,,,
719.7,2.23389,1.452,1.22367,1.24929,1.22886,,719.7,1.09389,0.452,0.19367,-0.01071,-0.01114,,,,,,,,,,,
719.8,2.24822,1.4682,1.24822,1.24394,1.22771,,719.8,1.10822,0.4682,0.21822,-0.01606,-0.01229,,,,,,,,,,,
719.9,2.24744,1.5142,1.22389,1.24494,1.28757,,719.9,1.10744,0.5142,0.19389,-0.01506,0.04757,,,,,,,,,,,
720,2.33867,1.46687,1.25389,1.19535,1.17957,,720,1.19867,0.46687,0.22389,-0.06465,-0.06043,,,,,,,,,,,
720.1,2.33822,1.43507,1.24644,1.24512,1.20086,,720.1,1.19822,0.43507,0.21644,-0.01488,-0.03914,,,,,,,,,,,
720.2,2.367,1.5896,1.23978,1.25324,1.21557,,720.2,1.227,0.5896,0.20978,-0.00676,-0.02443,,,,,,,,,,,
720.3,2.34233,1.566,1.24278,1.25588,1.225,,720.3,1.20233,0.566,0.21278,-0.00412,-0.015,,,,,,,,,,,
720.4,2.24667,1.44107,1.27833,1.24629,1.20257,,720.4,1.10667,0.44107,0.24833,-0.01371,-0.03743,,,,,,,,,,,
720.5,2.34433,1.52007,1.23,1.23629,1.223,,720.5,1.20433,0.52007,0.2,-0.02371,-0.017,,,,,,,,,,,
720.6,2.28033,1.5624,1.252,1.23606,1.245,,720.6,1.14033,0.5624,0.222,-0.02394,0.005,,,,,,,,,,,
720.7,2.34311,1.55493,1.28867,1.25676,1.19229,,720.7,1.20311,0.55493,0.25867,-0.00324,-0.04771,,,,,,,,,,,
720.8,2.19578,1.56767,1.20733,1.23359,1.18371,,720.8,1.05578,0.56767,0.17733,-0.02641,-0.05629,,,,,,,,,,,
720.9,2.30911,1.53013,1.25878,1.25671,1.27157,,720.9,1.16911,0.53013,0.22878,-0.00329,0.03157,,,,,,,,,,,
721,2.27389,1.58613,1.27956,1.28388,1.19686,,721,1.13389,0.58613,0.24956,0.02388,-0.04314,,,,,,,,,,,
721.1,2.33578,1.50807,1.23478,1.25671,1.20286,,721.1,1.19578,0.50807,0.20478,-0.00329,-0.03714,,,,,,,,,,,
721.2,2.23989,1.45813,1.24789,1.25776,1.19643,,721.2,1.09989,0.45813,0.21789,-0.00224,-0.04357,,,,,,,,,,,
721.3,2.28889,1.51993,1.26267,1.23435,1.19457,,721.3,1.14889,0.51993,0.23267,-0.02565,-0.04543,,,,,,,,,,,
721.4,2.38789,1.5898,1.31278,1.28665,1.16357,,721.4,1.24789,0.5898,0.28278,0.02665,-0.07643,,,,,,,,,,,
721.5,2.33222,1.651,1.35833,1.25641,1.24043,,721.5,1.19222,0.651,0.32833,-0.00359,0.00043,,,,,,,,,,,
721.6,2.26567,1.54233,1.31622,1.28118,1.22829,,721.6,1.12567,0.54233,0.28622,0.02118,-0.01171,,,,,,,,,,,
721.7,2.31467,1.61307,1.30467,1.21329,1.22257,,721.7,1.17467,0.61307,0.27467,-0.04671,-0.01743,,,,,,,,,,,
721.8,2.35078,1.53133,1.31856,1.25759,1.18429,,721.8,1.21078,0.53133,0.28856,-0.00241,-0.05571,,,,,,,,,,,
721.9,2.33356,1.67353,1.29,1.25482,1.20829,,721.9,1.19356,0.67353,0.26,-0.00518,-0.03171,,,,,,,,,,,
722,2.32978,1.64267,1.29911,1.27124,1.14014,,722,1.18978,0.64267,0.26911,0.01124,-0.09986,,,,,,,,,,,
722.1,2.32911,1.73,1.31211,1.27782,1.18757,,722.1,1.18911,0.73,0.28211,0.01782,-0.05243,,,,,,,,,,,
722.2,2.40178,1.656,1.30267,1.27006,1.21957,,722.2,1.26178,0.656,0.27267,0.01006,-0.02043,,,,,,,,,,,
722.3,2.34689,1.62407,1.32167,1.24824,1.199,,722.3,1.20689,0.62407,0.29167,-0.01176,-0.041,,,,,,,,,,,
722.4,2.38711,1.56553,1.39344,1.27053,1.28557,,722.4,1.24711,0.56553,0.36344,0.01053,0.04557,,,,,,,,,,,
722.5,2.42311,1.58593,1.304,1.27265,1.166,,722.5,1.28311,0.58593,0.274,0.01265,-0.074,,,,,,,,,,,
722.6,2.34544,1.64653,1.374,1.24882,1.20029,,722.6,1.20544,0.64653,0.344,-0.01118,-0.03971,,,,,,,,,,,
722.7,2.30733,1.58213,1.32,1.25559,1.22314,,722.7,1.16733,0.58213,0.29,-0.00441,-0.01686,,,,,,,,,,,
722.8,2.30478,1.54167,1.32533,1.23953,1.21657,,722.8,1.16478,0.54167,0.29533,-0.02047,-0.02343,,,,,,,,,,,
723.1,2.28811,1.5406,1.28911,1.21894,1.22643,,723.1,1.14811,0.5406,0.25911,-0.04106,-0.01357,,,,,,,,,,,
723.4,2.23222,1.45247,1.25522,1.28812,1.22529,,723.4,1.09222,0.45247,0.22522,0.02812,-0.01471,,,,,,,,,,,
723.7,2.265,1.566,1.33878,1.26959,1.19271,,723.7,1.125,0.566,0.30878,0.00959,-0.04729,,,,,,,,,,,
724,2.30067,1.50513,1.30411,1.21512,1.20071,,724,1.16067,0.50513,0.27411,-0.04488,-0.03929,,,,,,,,,,,
724.3,2.29756,1.4782,1.29211,1.24518,1.26914,,724.3,1.15756,0.4782,0.26211,-0.01482,0.02914,,,,,,,,,,,
724.6,2.22433,1.45233,1.27644,1.23541,1.18257,,724.6,1.08433,0.45233,0.24644,-0.02459,-0.05743,,,,,,,,,,,
724.9,2.24733,1.53873,1.268,1.22088,1.22371,,724.9,1.10733,0.53873,0.238,-0.03912,-0.01629,,,,,,,,,,,
725.2,2.27889,1.50513,1.26622,1.22665,1.16929,,725.2,1.13889,0.50513,0.23622,-0.03335,-0.07071,,,,,,,,,,,
725.5,2.24489,1.41193,1.26411,1.22841,1.21443,,725.5,1.10489,0.41193,0.23411,-0.03159,-0.02557,,,,,,,,,,,
725.8,2.17067,1.37587,1.26167,1.25376,1.19671,,725.8,1.03067,0.37587,0.23167,-0.00624,-0.04329,,,,,,,,,,,
726.1,2.25911,1.46807,1.22511,1.24812,1.19871,,726.1,1.11911,0.46807,0.19511,-0.01188,-0.04129,,,,,,,,,,,
726.4,2.20278,1.32847,1.20344,1.23224,1.19043,,726.4,1.06278,0.32847,0.17344,-0.02776,-0.04957,,,,,,,,,,,
726.7,2.23144,1.32807,1.17522,1.23735,1.18214,,726.7,1.09144,0.32807,0.14522,-0.02265,-0.05786,,,,,,,,,,,
727,2.16222,1.3184,1.21622,1.24618,1.21671,,727,1.02222,0.3184,0.18622,-0.01382,-0.02329,,,,,,,,,,,
727.3,2.24167,1.34813,1.19344,1.26412,1.16243,,727.3,1.10167,0.34813,0.16344,0.00412,-0.07757,,,,,,,,,,,
727.6,2.24422,1.34827,1.21444,1.25312,1.18686,,727.6,1.10422,0.34827,0.18444,-0.00688,-0.05314,,,,,,,,,,,
727.9,2.19811,1.34553,1.19344,1.21112,1.20243,,727.9,1.05811,0.34553,0.16344,-0.04888,-0.03757,,,,,,,,,,,
728.2,2.23867,1.4136,1.192,1.23371,1.21986,,728.2,1.09867,0.4136,0.162,-0.02629,-0.02014,,,,,,,,,,,
728.5,2.19467,1.38633,1.19356,1.21653,1.16657,,728.5,1.05467,0.38633,0.16356,-0.04347,-0.07343,,,,,,,,,,,
728.8,2.22311,1.33213,1.20944,1.23035,1.16986,,728.8,1.08311,0.33213,0.17944,-0.02965,-0.07014,,,,,,,,,,,
729.1,2.19011,1.28373,1.21222,1.20953,1.22871,,729.1,1.05011,0.28373,0.18222,-0.05047,-0.01129,,,,,,,,,,,
729.4,2.14944,1.32947,1.20689,1.241,1.22486,,729.4,1.00944,0.32947,0.17689,-0.019,-0.01514,,,,,,,,,,,
729.7,2.28856,1.34673,1.17733,1.22582,1.21529,,729.7,1.14856,0.34673,0.14733,-0.03418,-0.02471,,,,,,,,,,,
730,2.19589,1.2726,1.19411,1.22424,1.18729,,730,1.05589,0.2726,0.16411,-0.03576,-0.05271,,,,,,,,,,,
