Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-396.19662501101584,346.8035542750907
0.02,61.0,-95.86042469750936,346.8035542750907
0.04,148.0,28.556880425288426,154.0599187155665
0.06,130.0,29.61014127720407,118.21757613392886
0.08,133.0,44.7001704194502,99.66268828995794
0.1,108.0,28.253439876320364,87.80482161227063
0.12,92.0,18.717668437770485,79.38173083917398
0.14,88.0,19.825935740840873,72.99909030371012
0.16,70.0,5.994913995507529,67.9459284457915
0.18,77.0,16.481403841123356,63.816230365421866
0.2,91.0,33.45349823578409,60.35890507110939
0.22,71.0,16.026474702777136,57.40916670871201
0.24,57.0,4.282389998993004,54.85377408792965
0.26,70.0,19.28146174051375,52.61198461501746
0.28,63.0,14.069017827026629,50.62446329943126
0.3,74.0,26.679918152582054,48.84649545404011
0.32,70.0,24.141473802537504,47.2436577291912
0.34,57.0,12.47542783501854,45.78895875882647
0.36,64.0,20.6993321481478,44.46089414180667
0.38,53.0,10.827535009752689,43.24209246286497
0.4,43.0,1.871893213627342,42.11834540587328
0.42,46.0,5.842305302659445,41.07790489590434
0.44,56.0,16.747105436304228,40.110959889684864
0.46,50.0,11.593370592909023,39.20924524993496
0.48,48.0,10.387152193351866,38.365740265089315
0.5,45.0,8.133661113850103,37.57443976747204
0.52,46.0,9.83741121393817,36.830170789418084
0.54,43.0,7.502334373426573,36.12845094264392
0.56,46.0,11.131875382991835,35.46537505021866
0.58,37.0,2.729064661839698,34.83752037518329
0.6,44.0,10.296581438625552,34.24187569102676
0.62,41.0,7.8368052498651,33.67577774313775
0.64,59.0,26.351855398207316,33.13686094248676
0.66,46.0,13.84362874177744,32.623018026562484
0.68,39.0,7.313826754684404,32.1323623892381
0.7000000000000001,45.0,13.763982706737593,31.66320149710097
0.72,37.0,6.195481452187936,31.21401018657301
0.74,35.0,4.6095775495390825,30.78341027912318
0.76,48.0,18.00740920903359,30.37015365354918
0.78,33.0,3.390014743534145,29.973107106398363
0.8,34.0,4.758341151591948,29.591237331597974
0.8200000000000001,37.0,8.113254965491587,29.223601502921735
0.84,31.0,2.4555511919473183,28.869336902782155
0.86,36.0,7.785959987822952,28.527651862324923
0.88,42.0,14.1051539318982,28.197819324127597
0.9,41.0,13.413753985332834,27.879169332014733
0.92,40.0,12.712332710317362,27.57108366664009
0.9400000000000001,36.0,9.00142154183937,27.272991792370956
0.96,36.0,9.281512456613463,26.984364062359028
0.98,1021.0,994.5530623838247,26.704710884075375
1.0,144.0,117.81649797350039,26.433576520427682
1.02,35.0,9.072214762044183,26.1705359903189
1.04,42.0,16.32058229823625,25.91519530706577
1.06,35.0,9.56194640820914,25.667185994771785
1.08,38.0,12.796629672285063,25.42616330018796
1.1,45.0,20.024935120463653,25.191806073503468
1.12,36.0,11.247146470840578,24.96381188076511
1.1400000000000001,26.0,1.4635299177467571,24.741898076760773
1.16,49.0,24.674336039096918,24.525799301624524
1.18,39.0,14.879800273226747,24.31526581190661
1.2,37.0,13.080144707032122,24.1100626461085
1.22,27.0,3.2755780759691415,23.909968671008567
1.24,37.0,13.466298029030487,23.714775627987873
1.26,27.0,3.652491367164009,23.52428622568157
1.28,33.0,9.834333924063454,23.338314616816078
1.3,24.0,1.011992473516967,23.15668520611623
1.32,31.0,8.185625206244282,22.979231458212436
1.34,32.0,9.355382206733811,22.80579613605924
1.36,35.0,12.52140509561481,22.636229155168227
1.3800000000000001,28.0,5.683829294633777,22.470389252538006
1.4000000000000001,26.0,3.842782119305907,22.308141721677757
1.42,32.0,9.998386474402885,22.149359127863022
1.44,26.0,4.150757992930097,21.993919043159238
1.46,27.0,5.300006585847273,21.84170631139817
1.48,40.0,18.446237872579943,21.692611021620074
1.5,38.0,16.589552227345145,21.546528031236555
1.52,32.0,10.730045136779266,21.403356846821307
1.54,33.0,11.867808153612334,21.263002577784352
1.56,19.0,-1.9970711033319832,21.125373790604936
1.58,28.0,7.1354899779800425,20.9903829856687
1.6,34.0,13.26557150618718,20.857947670151173
1.62,35.0,14.393250490486828,20.72798809304145
1.6400000000000001,27.0,6.5185990524957385,20.600427364351418
1.6600000000000001,40.0,19.641687883319253,20.475193362464328
1.68,29.0,8.76258362094707,20.352215753902684
1.7,41.0,20.881350638392487,20.231428019886064
1.72,42.0,21.99805128211098,20.11276578740119
1.74,31.0,11.112744262674862,19.996166888806496
1.76,26.0,6.225486383307905,19.881572732738956
1.78,41.0,21.336332659094623,19.768926754393373
1.8,36.0,16.445335601724576,19.658173819475934
1.82,31.0,11.55254563672484,19.54926171432031
1.84,40.0,20.658011341878606,19.442140073004047
1.86,31.0,11.761779626039079,19.336760317743963
1.8800000000000001,32.0,12.863895550315572,19.233075658896137
1.9000000000000001,39.0,19.96440238767813,19.131041273769828
1.92,36.0,17.063342040190058,19.030613770185692
1.94,31.0,12.160754800589293,18.931751365289728
1.96,35.0,16.256679352288458,18.83441394515791
1.98,1167.0,1148.35115360384,18.738562766772976
2.0,1769.0,1750.4442134372377,18.64416010039657
2.02,65.0,46.53589390001206,18.551170064034245
2.04,42.0,23.626228847598963,18.459557729365823
2.06,35.0,16.715250406900633,18.369289121745393
2.08,32.0,13.802990824028354,18.280332412294158
2.1,34.0,15.88947990130309,18.19265523569154
2.12,30.0,11.974747381441183,18.1062279684305
